index,color,root&base,knock_voice,stripe,navel,touch_feel,good_melon
1,,curl,sonant,clearness,pit,,yes
2,black,curl,tediousness,clearness,pit,hard&slip,yes
3,black,curl,sonant,,pit,hard&slip,yes
4,green,,tediousness,,pit,hard&slip,yes
5,white,curl,sonant,clearness,,hard&slip,yes
6,green,,sonant,clearness,little pit,soft&sticky,yes
7,black,little curl,sonant,,little pit,soft&sticky,yes
8,,little curl,sonant,clearness,little pit,hard&slip,yes
9,black,little curl,tediousness,little mistiness,little pit,hard&slip,no
10,green,rigid,silvery,clearness,flat,,no
11,white,,silvery,mistiness,flat,hard&slip,no
12,white,rigid,sonant,mistiness,flat,soft&sticky,no
13,green,little curl,sonant,,pit,hard&slip,no
14,white,little curl,,little mistiness,pit,hard&slip,no
15,black,little curl,sonant,,little pit,soft&sticky,no
16,white,,sonant,mistiness,flat,hard&slip,no
17,green,curl,tediousness,little mistiness,,hard&slip,no
